id,name,product_code,price,base_price,category,image_path,in_stock,featured,source
1,"Infant-to-Toddler Rocker (Pink)",68147,5800,3625,Toys & Bouncers,/images/BOUNCER__5800__4_.webp,true,false,filename
2,"Infant-to-Toddler Rocker (Teal)",68144,5800,3625,Toys & Bouncers,/images/BOUNCER__5800.webp,true,false,filename
3,"Baby Turban Cap",0021,575,230,Accessories,/images/BABY_TURBAN_CAP__0021__230.webp,true,false,filename
4,"Baby Carrier EN71",EN71-2,1764,980,Baby Carriers,/images/BABY_CARRIER_EN71-2___980.webp,true,true,filename
5,"Baby Soap Dish",210163,162,65,Accessories,/images/SOAP_DISH__65__210163.webp,true,false,filename
6,"Baby Spoon 5-Piece Set",BIP1419,1200,480,Accessories,/images/SPOON_5pcs__480__BIP1419.webp,true,false,filename
7,"Baby Spoon & Fork Set",BBX-135,450,180,Accessories,/images/SPOON_AND_FORK_SET__180_BBX-135.webp,true,false,filename
8,"Baby Silicone Spoon Set",JR8008,375,150,Accessories,/images/SPOON__JR8008__150.webp,true,false,filename
9,"Baby Heat Sensing Spoon & Fork Set",8017,350,140,Accessories,/images/SPOON___FORK_SET_8017__140_.webp,true,false,filename
10,"Baby Stroller A517",A517,10880,6800,Toys & Bouncers,/images/STROLLER__A517__6800.webp,true,false,filename
11,"Foldable 4-in-1 Baby Stroller STI",STI,6240,3900,Toys & Bouncers,/images/STROLLER__STI__3900.webp,true,false,filename
12,"Luxury Baby Stroller S800",S800,48000,30000,Toys & Bouncers,/images/STROLLER__S800__30_000__5_.webp,true,false,filename
13,"Katia-1 Baby Stroller",KATIA-1,15680,9800,Toys & Bouncers,/images/STROLLER__katia-1__9800.webp,true,false,filename
14,"Baby Stroller WH-500-102",W-500-102,7840,4900,Toys & Bouncers,/images/STROLLER__4900_W-500-102.webp,true,false,filename
15,"Spectrum Stroller Combo SPM-1000",SPM-1000-540,32000,20000,Toys & Bouncers,/images/STROLLER_COMBO__SPM-1000__20_000__1_.webp,true,false,filename
16,"Spectrum Stroller Combo SPM-1000-554",SPM-1000-554,32000,20000,Toys & Bouncers,/images/STROLLER_COMBO__20_000__SPM-1000-554.webp,true,false,filename
17,"3-in-1 Stroller Combo 747-9",747-9,40000,25000,Toys & Bouncers,/images/STROLLER_COMBO__25_000__747-9.webp,true,false,filename
18,"3-in-1 Stroller Combo 747-9 (Black)",747-9-BLK,40000,25000,Toys & Bouncers,/images/STROLLER_COMBO_3__25_000___747-9.webp,true,false,filename
19,"1410744 Raincoat $730",PROD-0019,0,,Accessories,/images/PROD-0019.webp,true,false,filename
20,"30860 Raincoat $450",PROD-0020,0,,Accessories,/images/PROD-0020.webp,true,false,filename
21,"Aa $130",PROD-0021,0,,Accessories,/images/PROD-0021.webp,true,false,filename
22,"Album (250 Pages)  #6013 $1200",PROD-0022,0,,Accessories,/images/PROD-0022.webp,true,false,filename
23,"Baby Belly Binder $345 #Bip8215",PROD-0023,0,,Accessories,/images/PROD-0023.webp,true,false,filename
24,"Baby Carrier  #Y 04 $ 600",PROD-0024,0,,Baby Carriers,/images/PROD-0024.webp,true,false,filename
25,"Baby Carrier #039 $3950",PROD-0025,0,,Baby Carriers,/images/PROD-0025.webp,true,false,filename
26,"Baby Carrier #23161 2 $2800",PROD-0026,0,,Baby Carriers,/images/PROD-0026.webp,true,false,filename
27,"Baby Carrier #23161 3 $3200",PROD-0027,0,,Baby Carriers,/images/PROD-0027.webp,true,false,filename
28,"Baby Carrier #Ss 161b $2600",PROD-0028,0,,Baby Carriers,/images/PROD-0028.webp,true,false,filename
29,"Baby Carrier #Ss 161g $2600",PROD-0029,0,,Baby Carriers,/images/PROD-0029.webp,true,false,filename
30,"Baby Carrier #Xm 5 $3800",PROD-0030,0,,Baby Carriers,/images/PROD-0030.webp,true,false,filename
31,"Baby Carrier $3300 #Bbx 188",PROD-0031,0,,Baby Carriers,/images/PROD-0031.webp,true,false,filename
32,"Baby Changing Pad #9275  $320",PROD-0032,0,,Accessories,/images/PROD-0032.webp,true,false,filename
33,"Baby Changing Plastic Sheeet #1560 9  $280",PROD-0033,0,,Accessories,/images/PROD-0033.webp,true,false,filename
34,"Baby Diaper Pin #P 117 $60",PROD-0034,0,,Accessories,/images/PROD-0034.webp,true,false,filename
